Date;Lambda
09.07.07 - 15.07.07;0,026279109
16.07.07 - 22.07.07;0,026357841
23.07.07 - 29.07.07;0,027485224
30.07.07 - 05.08.07;0,028326116
06.08.07 - 12.08.07;0,030416994
13.08.07 - 19.08.07;0,031543553
20.08.07 - 26.08.07;0,032481371
27.08.07 - 02.09.07;0,033187556
03.09.07 - 09.09.07;0,033376104
10.09.07 - 16.09.07;0,033195958
17.09.07 - 23.09.07;0,033483969
24.09.07 - 30.09.07;0,033984389
01.10.07 - 07.10.07;0,034499788
08.10.07 - 14.10.07;0,034306231
15.10.07 - 21.10.07;0,034217318
22.10.07 - 28.10.07;0,034807403
29.10.07 - 04.11.07;0,03538301
05.11.07 - 11.11.07;0,036715098
12.11.07 - 18.11.07;0,037940465
19.11.07 - 25.11.07;0,038611963
26.11.07 - 02.12.07;0,038936618
03.12.07 - 09.12.07;0,039042811
10.12.07 - 16.12.07;0,039680892
17.12.07 - 23.12.07;0,039883871
24.12.07 - 30.12.07;0,040344427
31.12.07 - 06.01.08;0,040990297
07.01.08 - 13.01.08;0,041826467
14.01.08 - 20.01.08;0,042194683
21.01.08 - 27.01.08;0,043225214
28.01.08 - 03.02.08;0,043673134
04.02.08 - 10.02.08;0,04283626
11.02.08 - 17.02.08;0,042747103
18.02.08 - 24.02.08;0,041518534
25.02.08 - 02.03.08;0,042047504
03.03.08 - 09.03.08;0,042620046
10.03.08 - 16.03.08;0,043286199
17.03.08 - 23.03.08;0,044199033
24.03.08 - 30.03.08;0,04460395
31.03.08 - 06.04.08;0,044518259
07.04.08 - 13.04.08;0,044603274
14.04.08 - 20.04.08;0,044771004
21.04.08 - 27.04.08;0,045435514
28.04.08 - 04.05.08;0,046101976
05.05.08 - 11.05.08;0,045412899
12.05.08 - 18.05.08;0,044551245
19.05.08 - 25.05.08;0,044182128
26.05.08 - 01.06.08;0,043911478
02.06.08 - 08.06.08;0,04326123
09.06.08 - 15.06.08;0,042871537
16.06.08 - 22.06.08;0,04324202
23.06.08 - 29.06.08;0,043806495
30.06.08 - 06.07.08;0,043853085
07.07.08 - 13.07.08;0,044228817
14.07.08 - 20.07.08;0,045471712
21.07.08 - 27.07.08;0,046371501
28.07.08 - 03.08.08;0,045865385
04.08.08 - 10.08.08;0,046746465
11.08.08 - 17.08.08;0,047044396
18.08.08 - 24.08.08;0,046970939
25.08.08 - 31.08.08;0,046648154
01.09.08 - 07.09.08;0,047101446
08.09.08 - 14.09.08;0,04813483
15.09.08 - 21.09.08;0,049508517
22.09.08 - 28.09.08;0,052401548
29.09.08 - 05.10.08;0,056649353
06.10.08 - 12.10.08;0,061396719
13.10.08 - 19.10.08;0,066135791
20.10.08 - 26.10.08;0,069435784
27.10.08 - 02.11.08;0,073298654
03.11.08 - 09.11.08;0,077163097
10.11.08 - 16.11.08;0,079611367
17.11.08 - 23.11.08;0,082852993
24.11.08 - 30.11.08;0,086627882
01.12.08 - 07.12.08;0,090099757
08.12.08 - 14.12.08;0,092205412
15.12.08 - 21.12.08;0,092606797
22.12.08 - 28.12.08;0,093538388
29.12.08 - 04.01.09;0,094436392
05.01.09 - 11.01.09;0,096009635
12.01.09 - 18.01.09;0,09650541
19.01.09 - 25.01.09;0,098193756
26.01.09 - 01.02.09;0,098084116
02.02.09 - 08.02.09;0,099755094
09.02.09 - 15.02.09;0,100447692
16.02.09 - 22.02.09;0,102608618
23.02.09 - 01.03.09;0,105755457
02.03.09 - 08.03.09;0,106881223
09.03.09 - 15.03.09;0,109859454
16.03.09 - 22.03.09;0,110347463
23.03.09 - 29.03.09;0,10828932
30.03.09 - 05.04.09;0,10610185
06.04.09 - 12.04.09;0,106927157
13.04.09 - 19.04.09;0,103029739
20.04.09 - 26.04.09;0,099348005
27.04.09 - 03.05.09;0,100456518
04.05.09 - 10.05.09;0,099422438
11.05.09 - 17.05.09;0,098619591
18.05.09 - 24.05.09;0,098603172
25.05.09 - 31.05.09;0,096272626
01.06.09 - 07.06.09;0,093021239
08.06.09 - 14.06.09;0,091169268
15.06.09 - 21.06.09;0,090813415
22.06.09 - 28.06.09;0,088778558
29.06.09 - 05.07.09;0,087388555
06.07.09 - 12.07.09;0,086572766
13.07.09 - 19.07.09;0,088117786
20.07.09 - 26.07.09;0,084272641
27.07.09 - 02.08.09;0,081172332
03.08.09 - 09.08.09;0,080887045
10.08.09 - 16.08.09;0,078846461
17.08.09 - 23.08.09;0,075978604
24.08.09 - 30.08.09;0,073861783
31.08.09 - 06.09.09;0,071366592
07.09.09 - 13.09.09;0,068833444
14.09.09 - 20.09.09;0,067075431
21.09.09 - 27.09.09;0,065050291
28.09.09 - 04.10.09;0,063114566
05.10.09 - 11.10.09;0,061514004
12.10.09 - 18.10.09;0,058396992
19.10.09 - 25.10.09;0,055335664
26.10.09 - 01.11.09;0,054321862
02.11.09 - 08.11.09;0,053097429
09.11.09 - 15.11.09;0,050291538
16.11.09 - 22.11.09;0,048416651
23.11.09 - 29.11.09;0,047506596
30.11.09 - 06.12.09;0,047270179
07.12.09 - 13.12.09;0,047026684
14.12.09 - 20.12.09;0,046775281
21.12.09 - 27.12.09;0,045467415
28.12.09 - 03.01.10;0,044973867
04.01.10 - 10.01.10;0,043685787
11.01.10 - 17.01.10;0,042887061
18.01.10 - 24.01.10;0,04230883
25.01.10 - 31.01.10;0,042005767
01.02.10 - 07.02.10;0,041114338
08.02.10 - 14.02.10;0,040602802
15.02.10 - 21.02.10;0,040291271
22.02.10 - 28.02.10;0,039924509
01.03.10 - 07.03.10;0,039839268
08.03.10 - 14.03.10;0,039301538
15.03.10 - 21.03.10;0,039073957
22.03.10 - 28.03.10;0,038519812
29.03.10 - 04.04.10;0,038411571
05.04.10 - 11.04.10;0,037499373
12.04.10 - 18.04.10;0,037519029
19.04.10 - 25.04.10;0,0371621
26.04.10 - 02.05.10;0,036579805
03.05.10 - 09.05.10;0,036908513
10.05.10 - 16.05.10;0,03700072
17.05.10 - 23.05.10;0,036709927
24.05.10 - 30.05.10;0,036924846
31.05.10 - 06.06.10;0,037204695
07.06.10 - 13.06.10;0,036807339
14.06.10 - 20.06.10;0,036964028
21.06.10 - 27.06.10;0,036748151
28.06.10 - 04.07.10;0,0372029
05.07.10 - 11.07.10;0,037618819
12.07.10 - 18.07.10;0,037127984
19.07.10 - 25.07.10;0,037323042
26.07.10 - 01.08.10;0,037464247
02.08.10 - 08.08.10;0,037099406
09.08.10 - 15.08.10;0,036567351
16.08.10 - 22.08.10;0,036121474
23.08.10 - 29.08.10;0,036412188
30.08.10 - 05.09.10;0,035636929
06.09.10 - 12.09.10;0,03624061
13.09.10 - 19.09.10;0,035875654
20.09.10 - 26.09.10;0,035895262
27.09.10 - 03.10.10;0,035863872
04.10.10 - 10.10.10;0,035888343
11.10.10 - 17.10.10;0,035547729
18.10.10 - 24.10.10;0,035999951
25.10.10 - 31.10.10;0,03532029
01.11.10 - 07.11.10;0,034465046
08.11.10 - 14.11.10;0,034373158
15.11.10 - 21.11.10;0,034007837
22.11.10 - 28.11.10;0,033658562
29.11.10 - 05.12.10;0,032799441
06.12.10 - 12.12.10;0,031922033
13.12.10 - 19.12.10;0,031931257
20.12.10 - 26.12.10;0,03220239
27.12.10 - 02.01.11;0,031623811
03.01.11 - 09.01.11;0,031136237
10.01.11 - 16.01.11;0,030887026
17.01.11 - 23.01.11;0,030774667
24.01.11 - 30.01.11;0,030129427
31.01.11 - 06.02.11;0,029925821
07.02.11 - 13.02.11;0,029596704
14.02.11 - 20.02.11;0,029297613
21.02.11 - 27.02.11;0,029402664
28.02.11 - 06.03.11;0,029186449
07.03.11 - 13.03.11;0,028782268
14.03.11 - 20.03.11;0,028663941
21.03.11 - 27.03.11;0,028611456
28.03.11 - 03.04.11;0,028378197
