Date;Baden-Wuerttemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Thueringen;Schleswig-Holstein
01.01.05;7;8,9;19,4;20,8;17,9;10,4;9,5;23,6;12,4;11,3;9,5;10,7;19,7;22,5;19;12,9
01.02.05;7,3;9,1;19,6;20,8;18,5;10,6;10,1;23,7;12,7;12,5;9,8;11,4;20,2;22,9;19,4;12,8
01.03.05;7,4;9;19,5;20,3;17,8;10,7;10,2;23,4;12,4;12,6;9,7;11,4;20,2;22,8;19,2;12,5
01.04.05;7,2;8,1;19,7;19,3;17,3;11,4;9,9;21,7;11,9;12,3;9,2;11,2;19,4;21,5;18;12
01.05.05;7,1;7,6;19,3;18,4;16,9;11,7;9,6;20,6;11,5;12,1;8,9;11,1;18,5;20,6;17;11,5
01.06.05;7;7,4;19,3;17,9;16,7;11,7;9,5;19,9;11,3;11,9;8,6;10,9;17,9;20,1;16,7;11,3
01.07.05;7,1;7,3;19,5;17,9;16,8;11,9;9,6;19,7;11,6;12,2;8,7;10,8;17,8;20,1;16,9;11,4
01.08.05;7,1;7,5;19;17,2;16,6;11,7;9,9;18,9;11,5;12,1;8,8;10,6;17,7;19,6;16,7;11,1
01.09.05;6,9;7,2;18,6;16,5;16,2;11,5;9,6;18,2;11,1;11,8;8,3;10,2;17,3;18,7;16;10,8
01.10.05;6,8;7;18,1;16,4;15,7;11,4;9,5;17,5;10,9;11,8;8,1;10;16,6;17,6;15,4;10,6
01.11.05;6,7;7;17,8;16,2;15,5;11,3;9,3;17,9;11;11,7;8,1;9,9;16,6;17,6;15,2;10,7
01.12.05;6,7;7,3;17,8;16,7;15,3;11,3;9,4;18,7;11,2;11,7;8,3;10;17,1;18,2;15,7;10,9
01.01.06;7,2;8,5;18,6;18,8;16;11,7;10,1;21,2;12;12,3;9,1;10,7;19,1;20,3;17,8;11,7
01.02.06;7,2;8,5;18,7;19,2;16;11,7;10,2;21,9;12;12,3;9,1;10,8;19,5;20,7;18,1;11,6
01.03.06;7,1;8,3;18,5;19;15,8;11,6;10,2;21,6;11,7;12,2;8,9;10,7;19,4;20,5;17,7;11,3
01.04.06;6,9;7,6;18,2;18,1;15,8;11,6;9,9;20,3;11,2;12;8,6;10,4;18,5;19,5;16,7;10,7
01.05.06;6,5;6,7;17,7;17,1;15;11,3;9,4;18,9;10,5;11,6;8;10;17,2;18,6;15,6;9,9
01.06.06;6,3;6,4;17,2;16,5;14,9;11;9,2;18,1;10,2;11,4;7,7;9,9;16,3;17,9;15,1;9,5
01.07.06;6,1;6,3;17,5;16,3;15;11,1;9,2;18,2;10,2;11,5;7,8;9,9;16;17,9;14,9;9,6
01.08.06;6,2;6,4;17,4;16,3;14,8;10,8;9;18,2;10,3;11,2;7,8;9,9;16,2;18;14,9;9,6
01.09.06;5,9;6,1;17,1;16;14,4;10,6;8,7;18;9,8;10,9;7,4;9,5;15,9;17,5;14,5;9,2
01.10.06;5,6;5,8;16,5;15,6;14;10,3;8,4;17,3;9,6;10,6;7,2;9,1;15,3;16,5;13,9;8,9
01.11.06;5,5;5,8;16,1;15,3;13,5;10;8,2;17,3;9,4;10,3;7,1;8,8;15,1;16;13,6;8,8
01.12.06;5,4;5,9;16;15,4;13,4;9,9;8,1;17,6;9,5;10,2;7,1;8,7;15,4;16,2;13,9;8,9
01.01.07;5,7;6,7;16,6;16,5;13,6;10,2;8,4;19,3;10;10,5;7,6;9,1;16,7;17,9;15,4;9,4
01.02.07;5,6;6,6;16,5;16,6;13,5;10;8,4;19,2;9,9;10,4;7,4;8,9;16,6;17,9;15,4;9,3
01.03.07;5,4;6,3;16,3;16,2;13,2;9,7;8,1;18,7;9,5;10,2;7,1;8,8;16,3;17,4;14,9;9,1
01.04.07;5,2;5,7;16,1;15,7;13,1;9,6;7,9;17,8;9,2;10;6,8;8,7;15,6;16,8;14,1;8,8
01.05.07;5;5,3;15,9;14,9;12,8;9,3;7,6;16,6;8,8;9,6;6,5;8,4;14,8;16;13,2;8,5
01.06.07;4,8;5;15,6;14,4;12,6;9;7,4;15,8;8,5;9,5;6,3;8,3;14,2;15,4;12,6;8,2
01.07.07;4,8;4,9;15,7;14,7;12,8;9;7,6;15,8;8,6;9,5;6,5;8,6;14,1;15,6;12,5;8,3
01.08.07;4,9;5,1;15,5;14,4;12,7;8,8;7,5;15,7;8,7;9,3;6,4;8,5;14,2;15,7;12,6;8,3
01.09.07;4,7;4,8;14,9;13,7;12,3;8,6;7,1;14,8;8,3;9;6;8,1;13,8;14,9;12;7,8
01.10.07;4,4;4,5;14,3;13,3;12,1;8,6;6,9;14,3;8,1;8,8;5,8;7,9;13,3;14,5;11,6;7,6
01.11.07;4,3;4,5;14;13,1;11,8;8,3;6,7;14,6;8;8,7;5,7;7,7;13,1;14,3;11,5;7,6
01.12.07;4,3;4,6;14,1;13,4;11,7;8,3;6,7;15,1;8,1;8,6;5,9;7,8;13,4;14,5;11,8;7,8
01.01.08;4,6;5,3;15;14,7;12,2;8,6;7,1;16,4;8,6;9;6,4;8,1;14,6;15,8;13,1;8,4
01.02.08;4,5;5,1;15;14,6;12,1;8,6;7;16,2;8,4;8,9;6,2;8;14,5;15,7;13;8,3
01.03.08;4,3;4,8;14,7;14,2;12;8,4;6,9;15,6;8,1;8,7;6;7,8;14,1;15,3;12,5;8,1
01.04.08;4,2;4,4;14,5;13,8;11,8;8,4;6,7;15;7,9;8,7;5,8;7,6;13,6;14,8;12;7,8
01.05.08;4,1;4,1;14,1;13,1;11,6;8,2;6,6;14,2;7,6;8,5;5,5;7,3;13,1;14,5;11,4;7,5
01.06.08;3,9;3,8;13,6;12,5;11,1;7,9;6,4;13,5;7,4;8,4;5,4;7,1;12,4;13,8;10,7;7,2
01.07.08;4;3,8;13,7;12,6;11,4;8,1;6,6;13,4;7,6;8,6;5,6;7,3;12,4;13,8;10,9;7,4
01.08.08;4,1;3,9;13,8;12,6;11,3;8,1;6,4;13,3;7,6;8,4;5,4;7,1;12,4;13,6;10,7;7,5
01.09.08;4;3,9;13,3;12,1;10,9;7,9;6,2;12,7;7,2;8,2;5,2;6,8;11,9;12,8;10,2;7,2
01.10.08;3,9;3,6;13;11,6;10,9;7,9;6,2;12,4;7;8;5,1;6,7;11,4;12,3;9,9;7,1
01.11.08;3,9;3,6;12,7;11,6;10,7;7,7;6,1;12,8;7;7,9;5,2;6,6;11,4;12,2;9,9;7,1
01.12.08;4,1;4;12,9;12;10,8;7,7;6,3;13,5;7,3;8,1;5,5;6,8;12;12,7;10,4;7,3
01.01.09;4,7;5;14,1;13,5;11,4;8,5;6,9;15,3;8;8,7;6,3;7,6;13,6;14,5;12,3;8,1
01.02.09;4,8;5,1;14,3;13,7;11,7;8,7;7;15,5;8,2;8,9;6,4;7,7;14;14,8;12,6;8,2
01.03.09;5;5,2;14,4;13,6;11,9;8,8;7,1;15,3;8,1;9;6,5;7,9;14,1;14,8;12,7;8,2
01.04.09;5,2;5,1;14,5;13,2;12,2;9;7,1;14,6;8,1;9,2;6,5;8;13,9;14,5;12,5;8,1
01.05.09;5,1;4,7;14,2;12,5;12;8,6;6,9;13,6;7,7;9;6,1;7,8;13,2;13,9;11,8;7,7
