Date;Baden Wuerttemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg Vorpommern;Niedersachsen;Nordrhein Westfalen;Rheinland Pfalz;Saarland;Sachsen;Sachsen Anhalt;Schleswig Holstein;Thueringen
2005;7;7,8;19;18,2;16,8;11,3;9,7;20,3;11,6;12;8,8;10,7;18,3;20,2;11,5;17,1
2006;6,3;6,9;17,5;17;14,9;11;9,2;19,1;10,5;11,4;8;9,9;17;18,3;10;15,6
2007;4,9;5,3;15,5;14,7;12,7;9,1;7,5;16,5;8,8;9,5;6,5;8,4;14,7;15,9;8,4;13,1
2008;4,1;4,2;13,9;13;11,4;8,1;6,5;14,1;7,6;8,5;5,6;7,3;12,8;13,9;7,6;11,2
2009;5,1;4,8;14;12,3;11,8;8,6;6,8;13,5;7,7;8,9;6,1;7,7;12,9;13,6;7,8;11,4
2010;4,9;4,5;13,6;11,1;12;8,2;6,4;12,7;7,5;8,7;5,7;7,5;11,8;12,5;7,5;9,8
2011;4,1;3,8;13,3;10,7;11,6;7,8;5,9;12,5;6,9;8,1;5,3;6,8;10,6;11,6;7,2;8,8
2012;3,9;3,7;12,3;10,2;11,2;7,5;5,7;12;6,6;8,1;5,3;6,7;9,8;11,5;6,9;8,5
2013;4,1;3,8;11,7;9,9;11,1;7,4;5,8;11,7;6,6;8,3;5,5;7,3;9,5;11,2;6,9;8,2
2014;4;3,8;11,1;9,3;10,9;7,6;5,7;11,1;6,5;8,2;5,4;7,2;8,8;10,7;6,8;7,8
2015;4,1;4,1;11,1;9,5;11,2;7,7;5,8;11,7;6,5;8,2;5,6;7,4;9,1;11;6,9;8,1
