Date;Baden-Wuerttemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Thueringen;Schleswig-Holstein
01.01.04;59;58,25;65,75;62,75;69,5;77,5;63,75;82,75;70;65,75;58,25;0;75;62,25;77;69
01.02.04;47,75;55,5;59,5;72,25;62,25;63,5;59,5;71;67,75;61,5;40,75;0;69,5;46,5;64,75;73,5
01.03.04;43,75;41;51;0;53,5;47;47,75;82;51,75;51,5;33,25;0;52,5;61;50,75;56,75
01.04.04;34;43,75;46,75;0;40,25;51;40,5;82,25;42,75;45;31,25;0;48,5;44,25;50,5;48,75
01.05.04;36;35,2;46,8;75,2;52,6;43,6;40,6;70,8;48;43;35,6;0;47,6;36,2;56,2;37,6
01.06.04;33,5;38;47,5;67;36,5;57,75;41,25;82;52,25;42,5;32,75;0;37,75;42,25;50,25;53,25
01.07.04;38;39,2;48,2;28,4;43,2;48,6;45;65,6;48;45,4;39,4;14,4;43,4;42;59,6;62,4
01.08.04;37;37,5;42,75;0;41,5;54,75;44,25;80;52;41,75;34;0;45,5;43,25;42,5;45,75
01.09.04;33,25;37,25;37;0;39,75;41,5;41,25;56,5;48;44;35,5;0;43;39,5;39,25;42,25
01.10.04;35,6;35,2;34,8;15;32,4;40,8;39,2;66,6;44,4;43,6;28,6;0;40,4;36,6;37;35,6
01.11.04;32,25;31,25;29,75;0;27,75;37,75;38,75;54,75;38,25;35,5;26,75;0;33,75;36,75;39,25;36,5
01.12.04;26,25;24,25;27,5;0;32;26,75;30,75;51,25;32,75;30;25;0;30,75;44;34,75;32,5
01.01.05;29,4;31,8;35;43,4;39;42,8;33,4;54,8;42,2;38,6;31,4;0;37,2;44,4;37,2;39,6
01.02.05;36,5;35,25;35,75;31,5;30,5;39;39,75;67,25;47,25;39,5;28,25;64,5;40,75;43;38,5;36,5
01.03.05;30,75;32,5;34,25;0;39,25;41,5;36;50,25;40,25;35,75;29,5;33;35,75;34,75;29,75;43,25
01.04.05;27,2;30,8;34;46,2;33;33,4;30,8;50,4;35,6;35;31,8;0;36,2;31,8;35,2;41,2
01.05.05;25,75;26;35,5;15;29,25;30;29,75;62;33,75;30,75;28;0;31;40,75;39,25;35,5
01.06.05;26,5;29;29,75;0;33;33,75;32;11,5;38,25;33,25;26,25;0;33;42,25;34;39
01.07.05;28,6;28,6;36,8;64,4;35,6;38,8;34,2;26,8;39,8;34,2;25,4;42,2;36,2;39,2;39,2;36,6
01.08.05;26;25,75;30,25;51,25;33,25;37,25;33,75;55,25;36;31,5;28,75;10,75;37,5;39;51,75;34,5
01.09.05;28,5;30,75;33;54,5;37;35,5;32,75;55,25;37;32;28,75;0;33,75;42;40,25;31,5
01.10.05;26;27,2;31;55,4;28,4;32,8;30,8;54;38;32,6;21,6;8,2;31;36;30,4;36,8
01.11.05;22,5;24;26;0;30,75;33,5;27,25;0;36;30,25;24,25;0;29,5;33,5;34,25;28,75
01.12.05;20,8;22;24,6;0;26,8;28,8;23;43,4;27,6;26,6;19,6;0;28,6;27,6;29,4;30,8
01.01.06;25,75;25;28,75;0;31,5;34,75;32,5;52,75;38,5;34,75;24,75;0;38,25;37;40,5;36,5
01.02.06;26,5;26,25;35,5;24,75;28,5;35,25;29,75;38,25;41,5;32;28,5;23;33;37,75;32;35,25
01.03.06;25,25;25,5;27;46,25;29,5;29,5;29,75;51,5;35;30,25;24,5;41,25;30,75;36;37;26,25
01.04.06;22,6;23,8;29,6;55,2;26;29,2;24,4;53,4;30,6;27,4;25;38;32;44,4;30,4;26,6
01.05.06;20,25;22,5;26,5;59;21,5;28,75;25,25;41;31,25;28;16;0;26,75;37,5;23,25;25,5
01.06.06;23,5;22,25;26,75;15,75;28;25,75;25,25;36,75;30;26,75;20;0;32,25;37,25;26,5;28
01.07.06;25;25,2;28;28,2;29,4;27,6;26,8;51,2;35;28,6;23,4;0;34,4;27,6;31,8;29,6
01.08.06;24,25;25;27;44,5;30;31,75;29;43,25;34;30;27;0;39,5;38,25;33,75;29
01.09.06;25,6;24,6;26,2;39,8;25,4;31,6;28,4;50,4;35,2;28,4;21,6;0;34,2;32,6;37,8;29
01.10.06;23,75;24;28,5;44,5;24,25;26,25;26,25;40,75;33,25;27;24;14,5;30,25;35,25;31;22,25
01.11.06;20;21,5;23;46;23;25;26;31,25;31,5;24,25;20,5;28,75;25,25;22,75;26,5;23
01.12.06;14,4;18,4;20,2;42;19,2;18,6;19,4;29,2;22;19,8;18,4;24,6;23,4;22,4;25,8;23,2
01.01.07;21,5;22;25,5;40,5;27,75;27,25;26,75;47;29,5;27,25;20,75;23,5;33;30;27;28
