Date;Baden-Wuerttemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thueringen
2005;27,3;28,6;32,2;31,2;32,9;35,6;31,8;44,4;37,5;33,3;26,9;12,9;34,2;37,7;36,2;36,4
2006;23;23,6;27,2;37,5;26,3;28,5;26,7;43,5;33;27,9;22,8;14,3;31,6;33,9;27,8;31,4
2007;21,3;21,7;23,8;33,4;25,5;26,8;24,7;42,1;30,3;25,1;21;23,9;31,5;33,8;28,4;31,6
2008;17,8;18;20,5;27,6;21;24,8;18,5;37,5;25,9;22,6;18,6;23,5;27;29,4;24,4;28,8
2009;18,7;19;18,8;13,4;20,9;25,3;14,5;34,1;25,9;22,6;17,9;23,8;28,1;30,7;22,7;28,4
2010;12,1;13;14,4;1,1;14,7;16,9;8,2;24;17,5;14,4;12,9;7,9;19,2;20,6;16,8;20,1
2011;12,4;10,6;13,8;18,9;16,5;15,5;12,6;29,6;17,6;12,1;13,2;14,5;19,2;20,7;18,7;18,9
2012;8,8;8,9;10,3;13,9;12,4;11,4;10,5;18,6;15,7;10,2;9,4;12,3;14,1;14,5;12,9;13,5
2013;8,6;8,8;9,8;14,8;12,5;11,1;10,3;21,5;12,2;10,4;9,1;11,1;14;15,8;12,8;15
2014;7,6;8;9;11,7;10,8;10,5;9;18,5;10,1;9,5;8,7;9,9;12;14;11,1;12,3
2015;7,1;7,6;8,1;10,3;8,7;9,9;9,3;14,2;9,8;9,4;8,5;8,4;10;12,3;9,3;10,2
